ticker,call_date,quarter,prepared_sentiment,prepared_score,qa_sentiment,qa_score,ret_1d,ret_3d,ret_5d
AAPL,2024-10-31,Q4 2024,positive,0.8096,positive,0.6126,-0.013279629670170268,-0.010889262335863181,0.006949599207757062
AAPL,2025-01-30,Q1 2025,positive,0.793,positive,0.4644,-0.006692258645848992,-0.02016072217527687,-0.01839300813077427
AAPL,2025-07-31,Q3 2025,positive,0.7487,positive,0.7884,-0.02500361671306328,-0.022402164040537298,0.06002785127132082
AAPL,2025-10-30,Q4 2025,positive,0.8347,positive,0.4004,-0.003795042898427692,-0.005010975273976315,-0.006005870002825486
AAPL,2026-01-29,Q1 2026,positive,0.7421,positive,0.6265,0.0046461394466286166,0.04336384990101605,0.06825928071824339
AMZN,2024-04-30,Q1 2024,positive,0.8744,positive,0.6103,0.02285714285714291,0.06405718122209825,0.0786285400390625
AMZN,2024-08-01,Q2 2024,positive,0.8232,positive,0.6771,-0.0878470841762542,-0.12028040293082809,-0.09925573719503566
AMZN,2025-02-06,Q4 2024,positive,0.7377,positive,0.5306,-0.04053095448794508,-0.025415598030739006,-0.035422713432174624
AMZN,2025-10-30,Q3 2025,positive,0.8008,positive,0.718,0.09584492754129248,0.11872927686170964,0.0905500880396386
AMZN,2026-02-05,Q4 2025,positive,0.8278,positive,0.5326,-0.05554804877440456,-0.07063629060616639,-0.1036867218319153
GOOGL,2025-02-04,Q4 2024,positive,0.7643,positive,0.7519,-0.0729239520228655,-0.10194799406970767,-0.10204500010398809
GOOGL,2025-07-23,Q2 2025,positive,0.8153,positive,0.7365,0.010198189964782944,0.012353529748753811,0.033117869028981284
GOOGL,2025-10-29,Q3 2025,positive,0.864,positive,0.5685,0.025166657317651886,0.033324785662707246,0.035473500885485176
GOOGL,2026-02-04,Q4 2025,positive,0.8401,positive,0.588,-0.005374779306136834,-0.02618304473260813,-0.0662983896569197
META,2024-10-30,Q3 2024,positive,0.7941,positive,0.801,-0.04092597351992633,-0.05258530994287802,-0.033372748074515624
META,2025-01-29,Q4 2024,positive,0.7978,positive,0.8044,0.015536101861346463,0.030998286126319385,0.04195185935365586
META,2025-10-29,Q3 2025,positive,0.8017,neutral,0.5645,-0.11334753120791408,-0.15160899756140767,-0.15395047564018538
META,2026-01-28,Q4 2025,positive,0.7526,positive,0.6604,0.10404802222031617,0.05634561265957316,0.0003888701472416489
META,2026-04-23,Q1 2026,positive,0.679,positive,0.7158,0.024091639679341137,0.01849351739346794,-0.07166813247336867
MSFT,2024-10-30,Q1 2025,positive,0.6766,neutral,0.8726,-0.06052747629891453,-0.055649207803345146,-0.028552942857709818
MSFT,2025-01-29,Q2 2025,positive,0.5394,neutral,0.848,-0.061809017046936754,-0.07101017633477102,-0.06565224917652734
MSFT,2025-07-30,Q4 2025,positive,0.6463,neutral,0.8421,0.03947474498101644,0.04364430327026669,0.02279639221191254
MSFT,2025-10-29,Q1 2026,positive,0.6867,neutral,0.8622,-0.02915704505607286,-0.04527743964132236,-0.06350291285254028
MSFT,2026-01-28,Q2 2026,positive,0.6,neutral,0.5079,-0.09993146244609463,-0.12096421008563896,-0.1400244708026972
NVDA,2024-08-28,Q2 2025,positive,0.7378,neutral,0.8514,-0.06384854904162729,-0.14019586753054503,-0.14648511608517734
NVDA,2024-11-20,Q3 2025,positive,0.7842,positive,0.5027,0.005346513126098795,-0.06765361651360846,-0.07231489118687506
NVDA,2025-02-26,Q4 2025,positive,0.7625,neutral,0.876,-0.0847805911764884,-0.13117004474494542,-0.10648992389964218
NVDA,2025-11-19,Q3 2026,positive,0.8501,neutral,0.6285,-0.03152474073899536,-0.021284471044715203,-0.03356206031663744
NVDA,2026-02-25,Q4 2026,positive,0.8564,neutral,0.8644,-0.0545612407949545,-0.06688480831766097,-0.06402125047383933
TSLA,2024-04-23,Q1 2024,positive,0.6916,neutral,0.5302,0.12061109407252757,0.16318773711345202,0.2667957427259193
TSLA,2024-10-23,Q3 2024,positive,0.7774,neutral,0.8879,0.21919035070290427,0.22869186644027617,0.20547622349923578
TSLA,2025-01-29,Q4 2024,positive,0.6961,neutral,0.8787,0.028732954254456988,-0.01392961537577675,-0.028090445911926998
TSLA,2025-07-23,Q2 2025,positive,0.8429,neutral,0.6393,-0.08197020076301287,-0.020958627832185606,-0.04065428528062753
TSLA,2025-10-22,Q3 2025,positive,0.8148,positive,0.7675,0.022803402824313368,0.03063993477829685,0.05134749181548126
TSLA,2026-01-28,Q4 2025,positive,0.7683,neutral,0.8719,-0.03453389466363932,-0.02236590666017546,-0.058985727978217106
